dataset,attr_method,metric,model,itr_no,comp,suff
traffic,integrated_gradients,mae,DLinear,1,10.847,24.036
traffic,integrated_gradients,mae,DLinear,2,11.047,24.216
traffic,integrated_gradients,mae,DLinear,3,10.71,23.929
traffic,integrated_gradients,mae,MICN,1,9.195,18.226
traffic,integrated_gradients,mae,MICN,2,9.376,17.705
traffic,integrated_gradients,mae,MICN,3,9.644,18.443
traffic,integrated_gradients,mae,SegRNN,1,11.069,21.206
traffic,integrated_gradients,mae,SegRNN,2,10.501,21.336
traffic,integrated_gradients,mae,SegRNN,3,10.712,21.093
traffic,integrated_gradients,mae,iTransformer,1,13.386,24.926
traffic,integrated_gradients,mae,iTransformer,2,13.307,24.735
traffic,integrated_gradients,mae,iTransformer,3,13.497,24.822
traffic,gradient_shap,mae,DLinear,1,9.531,24.169
traffic,gradient_shap,mae,DLinear,2,9.619,24.326
traffic,gradient_shap,mae,DLinear,3,9.46,24.091
traffic,gradient_shap,mae,MICN,1,8.257,18.513
traffic,gradient_shap,mae,MICN,2,8.451,18.048
traffic,gradient_shap,mae,MICN,3,8.69,18.911
traffic,gradient_shap,mae,SegRNN,1,9.594,21.958
traffic,gradient_shap,mae,SegRNN,2,9.136,22.052
traffic,gradient_shap,mae,SegRNN,3,9.001,21.615
traffic,gradient_shap,mae,iTransformer,1,8.414,24.728
traffic,gradient_shap,mae,iTransformer,2,8.305,24.769
traffic,gradient_shap,mae,iTransformer,3,8.3,24.786
traffic,dyna_mask,mae,DLinear,1,3.437,26.277
traffic,dyna_mask,mae,DLinear,2,3.608,26.438
traffic,dyna_mask,mae,DLinear,3,3.366,26.213
traffic,dyna_mask,mae,MICN,1,4.368,21.25
traffic,dyna_mask,mae,MICN,2,4.348,21.003
traffic,dyna_mask,mae,MICN,3,4.416,22.028
traffic,dyna_mask,mae,SegRNN,1,4.03,24.113
traffic,dyna_mask,mae,SegRNN,2,4.235,24.037
traffic,dyna_mask,mae,SegRNN,3,3.977,23.644
traffic,dyna_mask,mae,iTransformer,1,3.866,27.588
traffic,dyna_mask,mae,iTransformer,2,3.662,27.967
traffic,dyna_mask,mae,iTransformer,3,3.755,28.127
traffic,winIT,mae,DLinear,1,7.289,25.283
traffic,winIT,mae,DLinear,2,7.368,25.43
traffic,winIT,mae,DLinear,3,7.14,25.259
traffic,winIT,mae,MICN,1,6.024,20.894
traffic,winIT,mae,MICN,2,6.17,20.752
traffic,winIT,mae,MICN,3,6.123,21.702
traffic,winIT,mae,SegRNN,1,11.948,22.736
traffic,winIT,mae,SegRNN,2,11.75,22.201
traffic,winIT,mae,SegRNN,3,11.321,21.915
traffic,winIT,mae,iTransformer,1,6.389,25.645
traffic,winIT,mae,iTransformer,2,6.124,25.819
traffic,winIT,mae,iTransformer,3,6.517,25.532
traffic,tsr,mae,DLinear,1,8.789,15.516
traffic,tsr,mae,DLinear,2,8.781,15.693
traffic,tsr,mae,DLinear,3,8.632,15.639
traffic,tsr,mae,MICN,1,7.204,11.863
traffic,tsr,mae,MICN,2,7.277,11.667
traffic,tsr,mae,MICN,3,6.418,12.022
traffic,tsr,mae,SegRNN,1,13.712,20.261
traffic,tsr,mae,SegRNN,2,13.57,19.886
traffic,tsr,mae,SegRNN,3,13.166,18.789
traffic,tsr,mae,iTransformer,1,8.962,22.202
traffic,tsr,mae,iTransformer,2,9.768,23.017
traffic,tsr,mae,iTransformer,3,10.103,22.6
traffic,gatemask,mae,DLinear,1,4.181,26.219
traffic,gatemask,mae,DLinear,2,4.283,26.252
traffic,gatemask,mae,DLinear,3,4.173,25.928
traffic,gatemask,mae,MICN,1,2.795,22.29
traffic,gatemask,mae,MICN,2,3.149,22.007
traffic,gatemask,mae,MICN,3,2.836,23.091
traffic,gatemask,mae,SegRNN,1,4.458,23.2
traffic,gatemask,mae,SegRNN,2,4.87,22.938
traffic,gatemask,mae,SegRNN,3,4.576,22.836
traffic,gatemask,mae,iTransformer,1,3.966,27.08
traffic,gatemask,mae,iTransformer,2,3.93,27.137
traffic,gatemask,mae,iTransformer,3,4.156,27.197
traffic,wtsr,mae,DLinear,1,11.143,21.251
traffic,wtsr,mae,DLinear,2,11.229,21.325
traffic,wtsr,mae,DLinear,3,11.09,21.173
traffic,wtsr,mae,MICN,1,10.642,15.47
traffic,wtsr,mae,MICN,2,10.768,15.15
traffic,wtsr,mae,MICN,3,11.024,15.898
traffic,wtsr,mae,SegRNN,1,14.827,16.447
traffic,wtsr,mae,SegRNN,2,14.091,16.613
